"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"LED_ACPHY_DDR_BU_PG_AtSpeedVskewPhi_st","X_WA_LED_ACPHY_DDR_BU_PG","21070","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ACPHY_DDR_PG_AtSpeedVskewPhi_st","X_WA_LED_ACPHY_DDR_PG","21071","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_AIF_PG_AtSpeedVskewPhi_st","X_WA_LED_AIF_PG","21072","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ALLCORES_PG_AtSpeedVskewPhi_st","X_WA_LED_ALLCORES_PG","21073","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ARM_PG_AtSpeedVskewPhi_st","X_WA_LED_ARM_PG","21074","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ATDF_PG_AtSpeedVskewPhi_st","X_WA_LED_ATDF_PG","21075","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BCP_PG_AtSpeedVskewPhi_st","X_WA_LED_BCP_PG","21076","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BCR_PG_AtSpeedVskewPhi_st","X_WA_LED_BCR_PG","21077","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BOOT_PG_AtSpeedVskewPhi_st","X_WA_LED_BOOT_PG","21078","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_DATPHY_DDR_PG_AtSpeedVskewPhi_st","X_WA_LED_DATPHY_DDR_PG","21079","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_DDR_PG_AtSpeedVskewPhi_st","X_WA_LED_DDR_PG","21080","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_EDMA_PG_AtSpeedVskewPhi_st","X_WA_LED_EDMA_PG","21081","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_EMIF_PG_AtSpeedVskewPhi_st","X_WA_LED_EMIF_PG","21082","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_FFTC_PG_AtSpeedVskewPhi_st","X_WA_LED_FFTC_PG","21083","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_GEM_PG_AtSpeedVskewPhi_st","X_WA_LED_GEM_PG","21084","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_GPIO_PG_AtSpeedVskewPhi_st","X_WA_LED_GPIO_PG","21085","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_I2C_PG_AtSpeedVskewPhi_st","X_WA_LED_I2C_PG","21086","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
